id_discente,ano_ingresso,periodo_ingresso,semestre_cronologico,renda,sexo_encoded,ano_nascimento,raca_encoded,escola_ens_medio_encoded,cotista_encoded,possui_bolsa_pesquisa,possui_auxilio_alimentacao,possui_auxilio_transporte,possui_auxilio_residencia_moradia,status_curso_encoded,media_periodo,faltas_no_periodo,reprovacoes_no_periodo,total_faltas_acumulado,total_reprovacoes_acumulado,ECT2101_nota,ECT2101_status,ECT2102_nota,ECT2102_status,ECT2103_nota,ECT2103_status,ECT2104_nota,ECT2104_status,ECT2105_nota,ECT2105_status,ECT2106_nota,ECT2106_status,ECT2201_nota,ECT2201_status,ECT2202_nota,ECT2202_status,ECT2203_nota,ECT2203_status,ECT2204_nota,ECT2204_status,ECT2205_nota,ECT2205_status,ECT2206_nota,ECT2206_status,ECT2207_nota,ECT2207_status,ECT2301_nota,ECT2301_status,ECT2302_nota,ECT2302_status,ECT2303_nota,ECT2303_status,ECT2304_nota,ECT2304_status,ECT2305_nota,ECT2305_status,ECT2306_nota,ECT2306_status,ECT2307_nota,ECT2307_status,ECT2401_nota,ECT2401_status,ECT2402_nota,ECT2402_status,ECT2403_nota,ECT2403_status
cc4fe7fb047701913bd082f16059570d,2014,2.0,4.0,1500.0,1,1996.0,5,2,1,0,0,0,0,1,4.82,14,1,33,8,7.2,1,5.8,1,5.0,1,5.0,1,7.7,1,6.7,1,6.7,1,0.0,0,9.4,1,6.1,1,0.0,0,0.0,0,0.0,0,2.5,0,6.9,1,7.8,1,0.0,0,7.5,1,9.0,1,0.0,0,5.0,1,0.0,0,0.0,0
cc4fe7fb047701913bd082f16059570d,2014,2.0,5.0,1500.0,1,1996.0,5,2,1,0,0,0,0,1,4.61,43,4,76,12,7.2,1,5.8,1,5.0,1,5.0,1,7.7,1,6.7,1,6.7,1,0.0,0,9.4,1,6.1,1,0.0,0,0.0,0,0.0,0,6.9,1,6.9,1,7.8,1,4.6,0,7.5,1,9.0,1,6.3,1,5.0,1,0.0,0,0.0,0
cc4fe7fb047701913bd082f16059570d,2014,2.0,6.0,1500.0,1,1996.0,5,2,1,0,0,0,0,1,6.14,50,2,126,14,7.2,1,5.8,1,5.0,1,5.0,1,7.7,1,6.7,1,6.7,1,0.0,0,9.4,1,6.1,1,0.0,0,0.0,0,0.0,0,6.9,1,6.9,1,7.8,1,7.7,1,7.5,1,9.0,1,6.3,1,5.0,1,10.0,1,8.3,1
cc58837fe59e5b4d19bfea3ed3a3a1cc,2013,1.0,1.0,9000.0,1,1995.0,1,-1,0,0,0,0,0,-1,7.66,16,0,16,0,10.0,1,7.6,1,5.0,1,7.3,1,7.6,1,5.9,1,0.0,0,0.0,0,9.5,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,8.4,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
cc58837fe59e5b4d19bfea3ed3a3a1cc,2013,1.0,2.0,9000.0,1,1995.0,1,-1,0,0,0,0,0,-1,8.0,12,0,28,0,10.0,1,7.6,1,5.0,1,7.3,1,7.6,1,5.9,1,7.0,1,0.0,0,9.5,1,10.0,1,5.9,1,0.0,0,8.4,1,0.0,0,0.0,0,0.0,0,0.0,0,8.4,1,9.0,1,0.0,0,0.0,0,0.0,0,0.0,0
cc58837fe59e5b4d19bfea3ed3a3a1cc,2013,1.0,3.0,9000.0,1,1995.0,1,-1,0,0,0,0,0,-1,7.66,14,0,42,0,10.0,1,7.6,1,5.0,1,7.3,1,7.6,1,5.9,1,7.0,1,0.0,0,9.5,1,10.0,1,5.9,1,0.0,0,8.4,1,5.9,1,0.0,0,9.0,1,8.0,1,8.4,1,9.0,1,0.0,0,0.0,0,7.0,1,0.0,0
cc58837fe59e5b4d19bfea3ed3a3a1cc,2013,1.0,6.0,9000.0,1,1995.0,1,-1,0,0,0,0,0,-1,5.82,36,0,78,0,10.0,1,7.6,1,5.0,1,7.3,1,7.6,1,5.9,1,7.0,1,0.0,0,9.5,1,10.0,1,5.9,1,0.0,0,8.4,1,5.9,1,0.0,0,9.0,1,8.0,1,8.4,1,9.0,1,0.0,0,6.7,1,7.0,1,0.0,0
cc58837fe59e5b4d19bfea3ed3a3a1cc,2013,1.0,8.0,9000.0,1,1995.0,1,-1,0,0,0,0,0,-1,0.0,0,5,104,11,10.0,1,7.6,1,5.0,1,7.3,1,7.6,1,5.9,1,7.0,1,0.0,0,9.5,1,10.0,1,5.9,1,0.0,0,8.4,1,5.9,1,0.0,0,9.0,1,8.0,1,8.4,1,9.0,1,0.0,0,6.7,1,7.0,1,0.0,0
cc58837fe59e5b4d19bfea3ed3a3a1cc,2013,1.0,9.0,9000.0,1,1995.0,1,-1,0,0,0,0,0,-1,0.0,0,6,104,17,10.0,1,7.6,1,5.0,1,7.3,1,7.6,1,5.9,1,7.0,1,0.0,0,9.5,1,10.0,1,5.9,1,0.0,0,8.4,1,5.9,1,0.0,0,9.0,1,8.0,1,8.4,1,9.0,1,0.0,0,6.7,1,7.0,1,0.0,0
cc5e5f1fe7abc02fa5b5c4a072ab4d7a,2023,1.0,1.0,5677.0,1,2003.0,5,2,1,0,0,0,0,-1,1.62,81,5,81,5,2.1,-1,0.0,-1,0.0,-1,0.0,-1,1.3,-1,6.3,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
cc5e5f1fe7abc02fa5b5c4a072ab4d7a,2023,1.0,2.0,5677.0,1,2003.0,5,2,1,0,0,0,0,-1,0.2,0,3,81,8,2.1,-1,0.0,-1,0.0,-1,0.0,0,1.3,0,6.3,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
cc6c8d790cbaefe834bce87b3e482d1a,2012,2.0,1.0,700.0,0,1990.0,5,-1,0,0,1,0,1,1,7.71,8,0,8,0,8.7,1,7.4,1,5.9,1,8.5,1,8.6,1,7.8,1,0.0,0,0.0,0,7.1,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
